model,year,weight_by,vector_size,window,min_count,similarity_score,analogy_score
w2v_1700_freq_400_5_9.kv,1700,freq,400,5,9,0.20145796446165476,0.04908279623202776
w2v_1700_freq_500_5_10.kv,1700,freq,500,5,10,0.2167800628418737,0.04736842105263158
w2v_1700_freq_500_5_5.kv,1700,freq,500,5,5,0.19158341590742725,0.038654812524159254
w2v_1700_freq_500_5_6.kv,1700,freq,500,5,6,0.16525898045995802,0.040085287846481875
w2v_1700_freq_500_5_7.kv,1700,freq,500,5,7,0.1599619577274666,0.043689320388349516
w2v_1700_freq_500_5_8.kv,1700,freq,500,5,8,0.20231790499589114,0.04152902312411515
w2v_1700_freq_500_5_9.kv,1700,freq,500,5,9,0.19740742084118787,0.04908279623202776
w2v_1700_none_100_5_10.kv,1700,none,100,5,10,0.22454890489858206,0.04894736842105263
w2v_1700_none_100_5_5.kv,1700,none,100,5,5,0.2027096198086854,0.04483958252802474
w2v_1700_none_100_5_6.kv,1700,none,100,5,6,0.17790387121409154,0.044349680170575695
w2v_1700_none_100_5_7.kv,1700,none,100,5,7,0.181583380111333,0.04633715798764342
w2v_1700_none_100_5_8.kv,1700,none,100,5,8,0.20123523040486924,0.042000943841434636
w2v_1700_none_100_5_9.kv,1700,none,100,5,9,0.21510151924285714,0.04462072384729797
w2v_1700_none_200_5_10.kv,1700,none,200,5,10,0.2136562050158716,0.03684210526315789
w2v_1700_none_200_5_5.kv,1700,none,200,5,5,0.1984773206160472,0.041747197526091996
w2v_1700_none_200_5_6.kv,1700,none,200,5,6,0.16597186686868512,0.0464818763326226
w2v_1700_none_200_5_7.kv,1700,none,200,5,7,0.17886861035572824,0.038393645189761696
w2v_1700_none_200_5_8.kv,1700,none,200,5,8,0.20033489374437735,0.03964134025483719
w2v_1700_none_200_5_9.kv,1700,none,200,5,9,0.20475992804919604,0.04908279623202776
w2v_1700_none_300_5_10.kv,1700,none,300,5,10,0.21305226089587304,0.04631578947368421
w2v_1700_none_300_5_5.kv,1700,none,300,5,5,0.19263234694999595,0.04252029377657519
w2v_1700_none_300_5_6.kv,1700,none,300,5,6,0.1638087116170203,0.041791044776119404
w2v_1700_none_300_5_7.kv,1700,none,300,5,7,0.1697031663643829,0.04457193292144748
w2v_1700_none_300_5_8.kv,1700,none,300,5,8,0.192453643212045,0.04011326097215668
w2v_1700_none_300_5_9.kv,1700,none,300,5,9,0.20663277307552408,0.0466038671294001
w2v_1700_none_400_5_10.kv,1700,none,400,5,10,0.21146591150342753,0.04
w2v_1700_none_400_5_5.kv,1700,none,400,5,5,0.19272877347945064,0.04367993815229996
w2v_1700_none_400_5_6.kv,1700,none,400,5,6,0.15833830694211762,0.03880597014925373
w2v_1700_none_400_5_7.kv,1700,none,400,5,7,0.17113059673016723,0.04148278905560459
w2v_1700_none_400_5_8.kv,1700,none,400,5,8,0.18664872350833914,0.04011326097215668
w2v_1700_none_400_5_9.kv,1700,none,400,5,9,0.19682327921640907,0.04313336638572137
w2v_1700_none_500_5_10.kv,1700,none,500,5,10,0.20600808246968627,0.04
w2v_1700_none_500_5_5.kv,1700,none,500,5,5,0.1896217276032263,0.03981445689988403
w2v_1700_none_500_5_6.kv,1700,none,500,5,6,0.15931491032462639,0.040085287846481875
w2v_1700_none_500_5_7.kv,1700,none,500,5,7,0.1696293208456061,0.04148278905560459
w2v_1700_none_500_5_8.kv,1700,none,500,5,8,0.18910998764808568,0.04105710240679566
w2v_1700_none_500_5_9.kv,1700,none,500,5,9,0.19552541536494217,0.0466038671294001
