model,year,weight_by,vector_size,window,min_count,approach,epochs,similarity_score,analogy_score
w2v_y1741_wbnone_vs200_w5_mc20_sg1_e10.kv,1741,none,200,5,20,1,10,0.3262099763573866,0.07326007326007326
w2v_y1744_wbnone_vs200_w5_mc20_sg1_e10.kv,1744,none,200,5,20,1,10,0.2962104904484758,0.06538049303322616
w2v_y1749_wbnone_vs200_w5_mc20_sg1_e10.kv,1749,none,200,5,20,1,10,0.3518887004196839,0.06479481641468683
w2v_y1752_wbnone_vs200_w5_mc20_sg1_e10.kv,1752,none,200,5,20,1,10,0.41100458464222245,0.05976806422836753
w2v_y1750_wbnone_vs200_w5_mc20_sg1_e10.kv,1750,none,200,5,20,1,10,0.37251394093497875,0.061967467079783116
w2v_y1747_wbnone_vs200_w5_mc20_sg1_e10.kv,1747,none,200,5,20,1,10,0.3660762503416581,0.07393577296489919
w2v_y1757_wbnone_vs200_w5_mc20_sg1_e10.kv,1757,none,200,5,20,1,10,0.42692995872327555,0.07529411764705882
w2v_y1751_wbnone_vs200_w5_mc20_sg1_e10.kv,1751,none,200,5,20,1,10,0.36338631956079237,0.0701219512195122
w2v_y1759_wbnone_vs200_w5_mc20_sg1_e10.kv,1759,none,200,5,20,1,10,0.48108758360903875,0.11555555555555555
w2v_y1756_wbnone_vs200_w5_mc20_sg1_e10.kv,1756,none,200,5,20,1,10,0.4475198593595714,0.06672025723472669
w2v_y1762_wbnone_vs200_w5_mc20_sg1_e10.kv,1762,none,200,5,20,1,10,0.4355623041904638,0.1128725428027901
w2v_y1754_wbnone_vs200_w5_mc20_sg1_e10.kv,1754,none,200,5,20,1,10,0.4246776184746143,0.0862190812720848
w2v_y1758_wbnone_vs200_w5_mc20_sg1_e10.kv,1758,none,200,5,20,1,10,0.46239251776419443,0.07167470709855273
w2v_y1755_wbnone_vs200_w5_mc20_sg1_e10.kv,1755,none,200,5,20,1,10,0.46156446626607406,0.08042895442359249
w2v_y1761_wbnone_vs200_w5_mc20_sg1_e10.kv,1761,none,200,5,20,1,10,0.45923721438668125,0.09379310344827586
w2v_y1763_wbnone_vs200_w5_mc20_sg1_e10.kv,1763,none,200,5,20,1,10,0.4492944957133755,0.10890410958904109
w2v_y1760_wbnone_vs200_w5_mc20_sg1_e10.kv,1760,none,200,5,20,1,10,0.4992103477691333,0.07610729881472239
w2v_y1766_wbnone_vs200_w5_mc20_sg1_e10.kv,1766,none,200,5,20,1,10,0.4507325617358936,0.08599651365485184
w2v_y1753_wbnone_vs200_w5_mc20_sg1_e10.kv,1753,none,200,5,20,1,10,0.45327815510901975,0.07009345794392523
w2v_y1769_wbnone_vs200_w5_mc20_sg1_e10.kv,1769,none,200,5,20,1,10,0.45873282536040466,0.08033964728935336
w2v_y1764_wbnone_vs200_w5_mc20_sg1_e10.kv,1764,none,200,5,20,1,10,0.4674601307397124,0.09512893982808023
w2v_y1765_wbnone_vs200_w5_mc20_sg1_e10.kv,1765,none,200,5,20,1,10,0.5171993733630991,0.08298999411418481
w2v_y1772_wbnone_vs200_w5_mc20_sg1_e10.kv,1772,none,200,5,20,1,10,0.5373213100831492,0.07833537331701346
w2v_y1781_wbnone_vs200_w5_mc20_sg1_e10.kv,1781,none,200,5,20,1,10,0.4969840305735618,0.08820093457943926
w2v_y1770_wbnone_vs200_w5_mc20_sg1_e10.kv,1770,none,200,5,20,1,10,0.48348898921490685,0.08767908309455587
w2v_y1777_wbnone_vs200_w5_mc20_sg1_e10.kv,1777,none,200,5,20,1,10,0.46943045914700726,0.09070673344462994
w2v_y1768_wbnone_vs200_w5_mc20_sg1_e10.kv,1768,none,200,5,20,1,10,0.45172759843918386,0.07355516637478109
w2v_y1767_wbnone_vs200_w5_mc20_sg1_e10.kv,1767,none,200,5,20,1,10,0.5153217730370893,0.09320175438596491
w2v_y1782_wbnone_vs200_w5_mc20_sg1_e10.kv,1782,none,200,5,20,1,10,0.48494609131083666,0.0889487870619946
w2v_y1773_wbnone_vs200_w5_mc20_sg1_e10.kv,1773,none,200,5,20,1,10,0.5071260324239069,0.11191135734072022
w2v_y1778_wbnone_vs200_w5_mc20_sg1_e10.kv,1778,none,200,5,20,1,10,0.5150038268834112,0.09378349410503752
w2v_y1771_wbnone_vs200_w5_mc20_sg1_e10.kv,1771,none,200,5,20,1,10,0.5077368364370559,0.0779510022271715
w2v_y1780_wbnone_vs200_w5_mc20_sg1_e10.kv,1780,none,200,5,20,1,10,0.4940685113824304,0.08724461623412479
w2v_y1779_wbnone_vs200_w5_mc20_sg1_e10.kv,1779,none,200,5,20,1,10,0.4809961262410405,0.08883248730964467
w2v_y1776_wbnone_vs200_w5_mc20_sg1_e10.kv,1776,none,200,5,20,1,10,0.5081506116235184,0.07746835443037975
w2v_y1775_wbnone_vs200_w5_mc20_sg1_e10.kv,1775,none,200,5,20,1,10,0.5597418290875052,0.11843515541264737
w2v_y1774_wbnone_vs200_w5_mc20_sg1_e10.kv,1774,none,200,5,20,1,10,0.49486861776689606,0.09314933464760966
w2v_y1786_wbnone_vs200_w5_mc20_sg1_e10.kv,1786,none,200,5,20,1,10,0.523861808461117,0.10430721328489881
w2v_y1783_wbnone_vs200_w5_mc20_sg1_e10.kv,1783,none,200,5,20,1,10,0.525298970269709,0.12252160650737164
w2v_y1784_wbnone_vs200_w5_mc20_sg1_e10.kv,1784,none,200,5,20,1,10,0.547298777820077,0.10965133906013137
w2v_y1785_wbnone_vs200_w5_mc20_sg1_e10.kv,1785,none,200,5,20,1,10,0.5422238378714093,0.12921065862242334
w2v_y1787_wbnone_vs200_w5_mc20_sg1_e10.kv,1787,none,200,5,20,1,10,0.5523910360905907,0.12691358024691357
w2v_y1791_wbnone_vs200_w5_mc20_sg1_e10.kv,1791,none,200,5,20,1,10,0.5764867226254758,0.15102230483271376
w2v_y1790_wbnone_vs200_w5_mc20_sg1_e10.kv,1790,none,200,5,20,1,10,0.5292108780495753,0.13545816733067728
w2v_y1792_wbnone_vs200_w5_mc20_sg1_e10.kv,1792,none,200,5,20,1,10,0.5607678224440648,0.16205357142857144
w2v_y1788_wbnone_vs200_w5_mc20_sg1_e10.kv,1788,none,200,5,20,1,10,0.5269692128916261,0.10717410323709536
w2v_y1793_wbnone_vs200_w5_mc20_sg1_e10.kv,1793,none,200,5,20,1,10,0.5395989448937597,0.14330779630464174
w2v_y1795_wbnone_vs200_w5_mc20_sg1_e10.kv,1795,none,200,5,20,1,10,0.542251129515472,0.12899159663865548
w2v_y1794_wbnone_vs200_w5_mc20_sg1_e10.kv,1794,none,200,5,20,1,10,0.5009089804421497,0.14285714285714285
w2v_y1797_wbnone_vs200_w5_mc20_sg1_e10.kv,1797,none,200,5,20,1,10,0.5565973781317272,0.1488294314381271
w2v_y1796_wbnone_vs200_w5_mc20_sg1_e10.kv,1796,none,200,5,20,1,10,0.5833756535619429,0.12024853801169591
w2v_y1798_wbnone_vs200_w5_mc20_sg1_e10.kv,1798,none,200,5,20,1,10,0.5537968696872386,0.158623417721519
w2v_y1799_wbnone_vs200_w5_mc20_sg1_e10.kv,1799,none,200,5,20,1,10,0.6034199404362895,0.1500389711613406
w2v_y1789_wbnone_vs200_w5_mc20_sg1_e10.kv,1789,none,200,5,20,1,10,0.573270757406829,0.09231651376146789
w2v_y1801_wbnone_vs200_w5_mc20_sg1_e10.kv,1801,none,200,5,20,1,10,0.5548617708010702,0.15531159186309332
w2v_y1804_wbnone_vs200_w5_mc20_sg1_e10.kv,1804,none,200,5,20,1,10,0.5520949486219136,0.1800827235125676
w2v_y1802_wbnone_vs200_w5_mc20_sg1_e10.kv,1802,none,200,5,20,1,10,0.5571926933671619,0.1419698314108252
w2v_y1805_wbnone_vs200_w5_mc20_sg1_e10.kv,1805,none,200,5,20,1,10,0.5690496368328979,0.17432835820895523
w2v_y1803_wbnone_vs200_w5_mc20_sg1_e10.kv,1803,none,200,5,20,1,10,0.5832436510367977,0.14240867579908675
w2v_y1806_wbnone_vs200_w5_mc20_sg1_e10.kv,1806,none,200,5,20,1,10,0.5766469214068252,0.19337175792507205
w2v_y1808_wbnone_vs200_w5_mc20_sg1_e10.kv,1808,none,200,5,20,1,10,0.5650365676693873,0.1693050711027636
w2v_y1812_wbnone_vs200_w5_mc20_sg1_e10.kv,1812,none,200,5,20,1,10,0.5559305427748346,0.20453273642977057
w2v_y1811_wbnone_vs200_w5_mc20_sg1_e10.kv,1811,none,200,5,20,1,10,0.5809180379465466,0.1962516733601071
w2v_y1809_wbnone_vs200_w5_mc20_sg1_e10.kv,1809,none,200,5,20,1,10,0.5936362303959736,0.17777170944838885
w2v_y1807_wbnone_vs200_w5_mc20_sg1_e10.kv,1807,none,200,5,20,1,10,0.5772776225007629,0.17875457875457876
w2v_y1814_wbnone_vs200_w5_mc20_sg1_e10.kv,1814,none,200,5,20,1,10,0.5784842651976041,0.1862370289459312
w2v_y1813_wbnone_vs200_w5_mc20_sg1_e10.kv,1813,none,200,5,20,1,10,0.6006550860302632,0.2019587083112758
w2v_y1810_wbnone_vs200_w5_mc20_sg1_e10.kv,1810,none,200,5,20,1,10,0.573582746218331,0.2082010582010582
w2v_y1818_wbnone_vs200_w5_mc20_sg1_e10.kv,1818,none,200,5,20,1,10,0.5832921415908109,0.19271623672230653
w2v_y1815_wbnone_vs200_w5_mc20_sg1_e10.kv,1815,none,200,5,20,1,10,0.5843084551423342,0.20956399437412096
w2v_y1800_wbnone_vs200_w5_mc20_sg1_e10.kv,1800,none,200,5,20,1,10,0.5340041109290679,0.17077754287056612
w2v_y1820_wbnone_vs200_w5_mc20_sg1_e10.kv,1820,none,200,5,20,1,10,0.5598001314950118,0.22471022128556375
w2v_y1816_wbnone_vs200_w5_mc20_sg1_e10.kv,1816,none,200,5,20,1,10,0.5926207624721392,0.19558939354161198
w2v_y1817_wbnone_vs200_w5_mc20_sg1_e10.kv,1817,none,200,5,20,1,10,0.5709324956155012,0.19426919032597267
w2v_y1821_wbnone_vs200_w5_mc20_sg1_e10.kv,1821,none,200,5,20,1,10,0.5866187748240672,0.19655521783181357
w2v_y1822_wbnone_vs200_w5_mc20_sg1_e10.kv,1822,none,200,5,20,1,10,0.5824031232808727,0.21787842669845053
w2v_y1823_wbnone_vs200_w5_mc20_sg1_e10.kv,1823,none,200,5,20,1,10,0.5879935363633824,0.20764774044032444
w2v_y1825_wbnone_vs200_w5_mc20_sg1_e10.kv,1825,none,200,5,20,1,10,0.5397075606788327,0.211932734392997
w2v_y1824_wbnone_vs200_w5_mc20_sg1_e10.kv,1824,none,200,5,20,1,10,0.5835074797558906,0.2149425287356322
w2v_y1819_wbnone_vs200_w5_mc20_sg1_e10.kv,1819,none,200,5,20,1,10,0.5727254185228442,0.1761569631051397
w2v_y1828_wbnone_vs200_w5_mc20_sg1_e10.kv,1828,none,200,5,20,1,10,0.5817837106540074,0.23055614745365438
w2v_y1827_wbnone_vs200_w5_mc20_sg1_e10.kv,1827,none,200,5,20,1,10,0.5743804127420594,0.20785913678333692
w2v_y1829_wbnone_vs200_w5_mc20_sg1_e10.kv,1829,none,200,5,20,1,10,0.5576344216363082,0.20660811375993307
w2v_y1826_wbnone_vs200_w5_mc20_sg1_e10.kv,1826,none,200,5,20,1,10,0.5871861293244865,0.20154714614258834
w2v_y1833_wbnone_vs200_w5_mc20_sg1_e10.kv,1833,none,200,5,20,1,10,0.5521023082652832,0.22186430440910007
w2v_y1830_wbnone_vs200_w5_mc20_sg1_e10.kv,1830,none,200,5,20,1,10,0.5793942255487906,0.22365869424692955
w2v_y1831_wbnone_vs200_w5_mc20_sg1_e10.kv,1831,none,200,5,20,1,10,0.5570499012598046,0.21812973194188665
w2v_y1836_wbnone_vs200_w5_mc20_sg1_e10.kv,1836,none,200,5,20,1,10,0.5517968234897976,0.21777943090942906
w2v_y1837_wbnone_vs200_w5_mc20_sg1_e10.kv,1837,none,200,5,20,1,10,0.5640965680667255,0.23111954459203035
w2v_y1834_wbnone_vs200_w5_mc20_sg1_e10.kv,1834,none,200,5,20,1,10,0.5661098489959676,0.18304914744232698
w2v_y1838_wbnone_vs200_w5_mc20_sg1_e10.kv,1838,none,200,5,20,1,10,0.5790418922785147,0.2327693677649154
w2v_y1835_wbnone_vs200_w5_mc20_sg1_e10.kv,1835,none,200,5,20,1,10,0.576011192003985,0.20847810979847117
w2v_y1840_wbnone_vs200_w5_mc20_sg1_e10.kv,1840,none,200,5,20,1,10,0.5458796033808848,0.21529897647692584
w2v_y1842_wbnone_vs200_w5_mc20_sg1_e10.kv,1842,none,200,5,20,1,10,0.5635466577078707,0.21541026115947398
w2v_y1841_wbnone_vs200_w5_mc20_sg1_e10.kv,1841,none,200,5,20,1,10,0.5630005663032788,0.22687733001952778
w2v_y1843_wbnone_vs200_w5_mc20_sg1_e10.kv,1843,none,200,5,20,1,10,0.5461194724478754,0.22360584731997835
w2v_y1839_wbnone_vs200_w5_mc20_sg1_e10.kv,1839,none,200,5,20,1,10,0.5475510204233102,0.22490029478064852
w2v_y1844_wbnone_vs200_w5_mc20_sg1_e10.kv,1844,none,200,5,20,1,10,0.5476710263709219,0.2153461217681401
w2v_y1845_wbnone_vs200_w5_mc20_sg1_e10.kv,1845,none,200,5,20,1,10,0.5445826586624547,0.2300547354453475
w2v_y1848_wbnone_vs200_w5_mc20_sg1_e10.kv,1848,none,200,5,20,1,10,0.5522391016786439,0.23063973063973064
w2v_y1846_wbnone_vs200_w5_mc20_sg1_e10.kv,1846,none,200,5,20,1,10,0.530252174383444,0.22159383033419022
w2v_y1847_wbnone_vs200_w5_mc20_sg1_e10.kv,1847,none,200,5,20,1,10,0.5346159951454877,0.22905844155844157
w2v_y1849_wbnone_vs200_w5_mc20_sg1_e10.kv,1849,none,200,5,20,1,10,0.5539453814378774,0.2219020172910663
w2v_y1850_wbnone_vs200_w5_mc20_sg1_e10.kv,1850,none,200,5,20,1,10,0.5289569348157498,0.24212566628977547
w2v_y1851_wbnone_vs200_w5_mc20_sg1_e10.kv,1851,none,200,5,20,1,10,0.539951989218168,0.25307820299500833
w2v_y1852_wbnone_vs200_w5_mc20_sg1_e10.kv,1852,none,200,5,20,1,10,0.5442078637462179,0.24740715958514553
w2v_y1853_wbnone_vs200_w5_mc20_sg1_e10.kv,1853,none,200,5,20,1,10,0.5421246598933442,0.23533915173786557
w2v_y1854_wbnone_vs200_w5_mc20_sg1_e10.kv,1854,none,200,5,20,1,10,0.5659693123403918,0.25649859066708425
w2v_y1862_wbnone_vs200_w5_mc20_sg1_e10.kv,1862,none,200,5,20,1,10,0.5667508638396014,0.24634223918575063
w2v_y1863_wbnone_vs200_w5_mc20_sg1_e10.kv,1863,none,200,5,20,1,10,0.5549936150396468,0.23293973316975924
w2v_y1857_wbnone_vs200_w5_mc20_sg1_e10.kv,1857,none,200,5,20,1,10,0.5460364526995768,0.2469384591536196
w2v_y1858_wbnone_vs200_w5_mc20_sg1_e10.kv,1858,none,200,5,20,1,10,0.5397765484016778,0.23450257030541277
w2v_y1860_wbnone_vs200_w5_mc20_sg1_e10.kv,1860,none,200,5,20,1,10,0.569754176716936,0.2448647849859613
w2v_y1856_wbnone_vs200_w5_mc20_sg1_e10.kv,1856,none,200,5,20,1,10,0.5521696671762384,0.23133667748598408
w2v_y1864_wbnone_vs200_w5_mc20_sg1_e10.kv,1864,none,200,5,20,1,10,0.5468375843777562,0.23997560603750573
w2v_y1855_wbnone_vs200_w5_mc20_sg1_e10.kv,1855,none,200,5,20,1,10,0.538623208897705,0.2289734075448361
w2v_y1866_wbnone_vs200_w5_mc20_sg1_e10.kv,1866,none,200,5,20,1,10,0.5540669971978429,0.2520692249811889
w2v_y1861_wbnone_vs200_w5_mc20_sg1_e10.kv,1861,none,200,5,20,1,10,0.5492007035110364,0.22536839063854378
w2v_y1867_wbnone_vs200_w5_mc20_sg1_e10.kv,1867,none,200,5,20,1,10,0.5333764748852735,0.26065500224315835
w2v_y1859_wbnone_vs200_w5_mc20_sg1_e10.kv,1859,none,200,5,20,1,10,0.5519709741924738,0.23640256959314776
w2v_y1865_wbnone_vs200_w5_mc20_sg1_e10.kv,1865,none,200,5,20,1,10,0.5540571830835656,0.2314416950659357
w2v_y1868_wbnone_vs200_w5_mc20_sg1_e10.kv,1868,none,200,5,20,1,10,0.5359153422727647,0.2655417406749556
w2v_y1870_wbnone_vs200_w5_mc20_sg1_e10.kv,1870,none,200,5,20,1,10,0.5695819177824735,0.26639163105937824
w2v_y1871_wbnone_vs200_w5_mc20_sg1_e10.kv,1871,none,200,5,20,1,10,0.5681989948066122,0.26186764914269517
w2v_y1869_wbnone_vs200_w5_mc20_sg1_e10.kv,1869,none,200,5,20,1,10,0.5817437203286857,0.2514278124584938
w2v_y1872_wbnone_vs200_w5_mc20_sg1_e10.kv,1872,none,200,5,20,1,10,0.5747701317001066,0.26337332392378265
w2v_y1873_wbnone_vs200_w5_mc20_sg1_e10.kv,1873,none,200,5,20,1,10,0.5759851893845965,0.2655118557432912
w2v_y1875_wbnone_vs200_w5_mc20_sg1_e10.kv,1875,none,200,5,20,1,10,0.5652340938368952,0.2701108073104044
w2v_y1876_wbnone_vs200_w5_mc20_sg1_e10.kv,1876,none,200,5,20,1,10,0.568971693790865,0.26683087027914615
w2v_y1874_wbnone_vs200_w5_mc20_sg1_e10.kv,1874,none,200,5,20,1,10,0.5733978859850942,0.2518343815513627
w2v_y1878_wbnone_vs200_w5_mc20_sg1_e10.kv,1878,none,200,5,20,1,10,0.5849526459643544,0.27157040973290447
w2v_y1880_wbnone_vs200_w5_mc20_sg1_e10.kv,1880,none,200,5,20,1,10,0.5898621948987384,0.27450451665093706
w2v_y1882_wbnone_vs200_w5_mc20_sg1_e10.kv,1882,none,200,5,20,1,10,0.5664157584577739,0.2939266874070066
w2v_y1879_wbnone_vs200_w5_mc20_sg1_e10.kv,1879,none,200,5,20,1,10,0.5939929688523674,0.263265829274545
w2v_y1877_wbnone_vs200_w5_mc20_sg1_e10.kv,1877,none,200,5,20,1,10,0.6047105855167152,0.2643707591857637
w2v_y1881_wbnone_vs200_w5_mc20_sg1_e10.kv,1881,none,200,5,20,1,10,0.5909467910050579,0.2678934010152284
w2v_y1885_wbnone_vs200_w5_mc20_sg1_e10.kv,1885,none,200,5,20,1,10,0.5828837601673234,0.2785586506516739
w2v_y1884_wbnone_vs200_w5_mc20_sg1_e10.kv,1884,none,200,5,20,1,10,0.6076641158428902,0.2717211550693296
w2v_y1883_wbnone_vs200_w5_mc20_sg1_e10.kv,1883,none,200,5,20,1,10,0.5948132916140103,0.26748124848778126
w2v_y1887_wbnone_vs200_w5_mc20_sg1_e10.kv,1887,none,200,5,20,1,10,0.5866873376427469,0.29758288204992733
w2v_y1886_wbnone_vs200_w5_mc20_sg1_e10.kv,1886,none,200,5,20,1,10,0.5989714887263758,0.27682718161818626
w2v_y1888_wbnone_vs200_w5_mc20_sg1_e10.kv,1888,none,200,5,20,1,10,0.5762052522393504,0.2887511071744907
w2v_y1889_wbnone_vs200_w5_mc20_sg1_e10.kv,1889,none,200,5,20,1,10,0.6017104176767516,0.2878092323386891
w2v_y1891_wbnone_vs200_w5_mc20_sg1_e10.kv,1891,none,200,5,20,1,10,0.6051250289999583,0.29093336569972084
w2v_y1893_wbnone_vs200_w5_mc20_sg1_e10.kv,1893,none,200,5,20,1,10,0.6005074642818623,0.30141380539384577
w2v_y1890_wbnone_vs200_w5_mc20_sg1_e10.kv,1890,none,200,5,20,1,10,0.60734178444694,0.28892437549903044
w2v_y1894_wbnone_vs200_w5_mc20_sg1_e10.kv,1894,none,200,5,20,1,10,0.5908924971170845,0.2813056379821958
w2v_y1892_wbnone_vs200_w5_mc20_sg1_e10.kv,1892,none,200,5,20,1,10,0.5880688335644427,0.28850115109657093
w2v_y1896_wbnone_vs200_w5_mc20_sg1_e10.kv,1896,none,200,5,20,1,10,0.5971881966437764,0.3000490075961774
w2v_y1895_wbnone_vs200_w5_mc20_sg1_e10.kv,1895,none,200,5,20,1,10,0.5971318102221794,0.2990013934045518
w2v_y1898_wbnone_vs200_w5_mc20_sg1_e10.kv,1898,none,200,5,20,1,10,0.5915289430006017,0.3143434823977165
w2v_y1897_wbnone_vs200_w5_mc20_sg1_e10.kv,1897,none,200,5,20,1,10,0.6067873219592372,0.3133669609079445
w2v_y1899_wbnone_vs200_w5_mc20_sg1_e10.kv,1899,none,200,5,20,1,10,0.6048455631566186,0.3014231845274298
w2v_y1901_wbnone_vs200_w5_mc20_sg1_e10.kv,1901,none,200,5,20,1,10,0.5991325709662996,0.3166465621230398
w2v_y1902_wbnone_vs200_w5_mc20_sg1_e10.kv,1902,none,200,5,20,1,10,0.5991896360787262,0.31903677968132266
w2v_y1904_wbnone_vs200_w5_mc20_sg1_e10.kv,1904,none,200,5,20,1,10,0.5994026170049956,0.3121991311494658
w2v_y1908_wbnone_vs200_w5_mc20_sg1_e10.kv,1908,none,200,5,20,1,10,0.6084964083677612,0.3100978753879207
w2v_y1900_wbnone_vs200_w5_mc20_sg1_e10.kv,1900,none,200,5,20,1,10,0.6092298333932359,0.303133297928837
w2v_y1905_wbnone_vs200_w5_mc20_sg1_e10.kv,1905,none,200,5,20,1,10,0.5766492694934809,0.3002885170225043
w2v_y1903_wbnone_vs200_w5_mc20_sg1_e10.kv,1903,none,200,5,20,1,10,0.5882131638806336,0.3140944245642387
w2v_y1907_wbnone_vs200_w5_mc20_sg1_e10.kv,1907,none,200,5,20,1,10,0.6107998738973223,0.3188622754491018
w2v_y1911_wbnone_vs200_w5_mc20_sg1_e10.kv,1911,none,200,5,20,1,10,0.610690215055995,0.32656123744661203
w2v_y1906_wbnone_vs200_w5_mc20_sg1_e10.kv,1906,none,200,5,20,1,10,0.6167078995319704,0.31075293056807934
w2v_y1909_wbnone_vs200_w5_mc20_sg1_e10.kv,1909,none,200,5,20,1,10,0.6190568540349687,0.3147896879240163
w2v_y1910_wbnone_vs200_w5_mc20_sg1_e10.kv,1910,none,200,5,20,1,10,0.6191793015789211,0.3166116611661166
w2v_y1912_wbnone_vs200_w5_mc20_sg1_e10.kv,1912,none,200,5,20,1,10,0.6135178717299514,0.32967157417893544
w2v_y1914_wbnone_vs200_w5_mc20_sg1_e10.kv,1914,none,200,5,20,1,10,0.6306590897977127,0.34856609932385174
w2v_y1913_wbnone_vs200_w5_mc20_sg1_e10.kv,1913,none,200,5,20,1,10,0.6046249947501594,0.3311310190369541
w2v_y1916_wbnone_vs200_w5_mc20_sg1_e10.kv,1916,none,200,5,20,1,10,0.6124948537658448,0.34619724667118035
w2v_y1915_wbnone_vs200_w5_mc20_sg1_e10.kv,1915,none,200,5,20,1,10,0.6216402868188644,0.34742054352832796
w2v_y1917_wbnone_vs200_w5_mc20_sg1_e10.kv,1917,none,200,5,20,1,10,0.5907701917736005,0.3483323911814585
w2v_y1918_wbnone_vs200_w5_mc20_sg1_e10.kv,1918,none,200,5,20,1,10,0.6172985244882156,0.3497914553037989
w2v_y1919_wbnone_vs200_w5_mc20_sg1_e10.kv,1919,none,200,5,20,1,10,0.6253834667192304,0.35071090047393366
w2v_y1920_wbnone_vs200_w5_mc20_sg1_e10.kv,1920,none,200,5,20,1,10,0.6010995081729281,0.35188689747300456
w2v_y1922_wbnone_vs200_w5_mc20_sg1_e10.kv,1922,none,200,5,20,1,10,0.6163951235632129,0.3528245787908821
w2v_y1924_wbnone_vs200_w5_mc20_sg1_e10.kv,1924,none,200,5,20,1,10,0.6307035082913672,0.33534222987516143
w2v_y1923_wbnone_vs200_w5_mc20_sg1_e10.kv,1923,none,200,5,20,1,10,0.6163603087254368,0.3502041693531055
w2v_y1921_wbnone_vs200_w5_mc20_sg1_e10.kv,1921,none,200,5,20,1,10,0.6268174867428081,0.34693439278428007
w2v_y1928_wbnone_vs200_w5_mc20_sg1_e10.kv,1928,none,200,5,20,1,10,0.6313955712590744,0.35930161323259135
w2v_y1926_wbnone_vs200_w5_mc20_sg1_e10.kv,1926,none,200,5,20,1,10,0.6170893525004794,0.3451792661129219
w2v_y1925_wbnone_vs200_w5_mc20_sg1_e10.kv,1925,none,200,5,20,1,10,0.6283898873005538,0.3352373039775678
w2v_y1935_wbnone_vs200_w5_mc20_sg1_e10.kv,1935,none,200,5,20,1,10,0.6215836840324346,0.3479648842777334
w2v_y1927_wbnone_vs200_w5_mc20_sg1_e10.kv,1927,none,200,5,20,1,10,0.6237552810484948,0.3406290052252785
w2v_y1929_wbnone_vs200_w5_mc20_sg1_e10.kv,1929,none,200,5,20,1,10,0.6261951700145328,0.3471369130176342
w2v_y1930_wbnone_vs200_w5_mc20_sg1_e10.kv,1930,none,200,5,20,1,10,0.625672728809656,0.3561374456634237
w2v_y1931_wbnone_vs200_w5_mc20_sg1_e10.kv,1931,none,200,5,20,1,10,0.6228585424501156,0.3446032528339083
w2v_y1932_wbnone_vs200_w5_mc20_sg1_e10.kv,1932,none,200,5,20,1,10,0.6292928654656182,0.350617027895883
w2v_y1933_wbnone_vs200_w5_mc20_sg1_e10.kv,1933,none,200,5,20,1,10,0.6199832292550868,0.3545190671604444
w2v_y1934_wbnone_vs200_w5_mc20_sg1_e10.kv,1934,none,200,5,20,1,10,0.6274815223115285,0.35174418604651164
w2v_y1936_wbnone_vs200_w5_mc20_sg1_e10.kv,1936,none,200,5,20,1,10,0.6406210249668822,0.36420057137227857
w2v_y1938_wbnone_vs200_w5_mc20_sg1_e10.kv,1938,none,200,5,20,1,10,0.635844792469842,0.36913301906128304
w2v_y1937_wbnone_vs200_w5_mc20_sg1_e10.kv,1937,none,200,5,20,1,10,0.6246485455642667,0.35842364532019705
w2v_y1944_wbnone_vs200_w5_mc20_sg1_e10.kv,1944,none,200,5,20,1,10,0.6399923332197819,0.3706490119370047
w2v_y1943_wbnone_vs200_w5_mc20_sg1_e10.kv,1943,none,200,5,20,1,10,0.6391993873067897,0.3693782741919541
w2v_y1942_wbnone_vs200_w5_mc20_sg1_e10.kv,1942,none,200,5,20,1,10,0.6461610647311241,0.36966440231166986
w2v_y1940_wbnone_vs200_w5_mc20_sg1_e10.kv,1940,none,200,5,20,1,10,0.6225170002280677,0.371603596482561
w2v_y1939_wbnone_vs200_w5_mc20_sg1_e10.kv,1939,none,200,5,20,1,10,0.6372514305728337,0.3665480427046263
w2v_y1941_wbnone_vs200_w5_mc20_sg1_e10.kv,1941,none,200,5,20,1,10,0.6365216088274853,0.37200898525246606
w2v_y1945_wbnone_vs200_w5_mc20_sg1_e10.kv,1945,none,200,5,20,1,10,0.6222463069270355,0.3537745002910926
w2v_y1946_wbnone_vs200_w5_mc20_sg1_e10.kv,1946,none,200,5,20,1,10,0.6325815905305072,0.37239269491054044
w2v_y1947_wbnone_vs200_w5_mc20_sg1_e10.kv,1947,none,200,5,20,1,10,0.6368843362866343,0.3778213935230618
w2v_y1948_wbnone_vs200_w5_mc20_sg1_e10.kv,1948,none,200,5,20,1,10,0.6348591538620765,0.3843409688321442
w2v_y1949_wbnone_vs200_w5_mc20_sg1_e10.kv,1949,none,200,5,20,1,10,0.6519365849681417,0.3808729496802891
w2v_y1950_wbnone_vs200_w5_mc20_sg1_e10.kv,1950,none,200,5,20,1,10,0.6464596681419496,0.38819502266629663
w2v_y1954_wbnone_vs200_w5_mc20_sg1_e10.kv,1954,none,200,5,20,1,10,0.6545961360995989,0.41280806572068707
w2v_y1953_wbnone_vs200_w5_mc20_sg1_e10.kv,1953,none,200,5,20,1,10,0.6433467672127642,0.403921568627451
w2v_y1951_wbnone_vs200_w5_mc20_sg1_e10.kv,1951,none,200,5,20,1,10,0.6484173829376684,0.3942512749188688
w2v_y1952_wbnone_vs200_w5_mc20_sg1_e10.kv,1952,none,200,5,20,1,10,0.6284364072673411,0.4001673951455408
