model,year,weight_by,vector_size,window,min_count,approach,epochs,similarity_score,analogy_score
w2v_y1552_wbnone_vs200_w5_mc20_sg1_e10.kv,1552,none,200,5,20,1,10,-0.39999999999999997,0.0
w2v_y1597_wbnone_vs200_w5_mc20_sg1_e10.kv,1597,none,200,5,20,1,10,-0.22527472527472525,0.0
w2v_y1596_wbnone_vs200_w5_mc20_sg1_e10.kv,1596,none,200,5,20,1,10,0.04901960784313726,0.0
w2v_y1535_wbnone_vs200_w5_mc20_sg1_e10.kv,1535,none,200,5,20,1,10,0.044155844155844164,0.0
w2v_y1538_wbnone_vs200_w5_mc20_sg1_e10.kv,1538,none,200,5,20,1,10,-0.2333333333333333,0.029411764705882353
w2v_y1612_wbnone_vs200_w5_mc20_sg1_e10.kv,1612,none,200,5,20,1,10,-0.5714285714285715,0.0
w2v_y1526_wbnone_vs200_w5_mc20_sg1_e10.kv,1526,none,200,5,20,1,10,0.16304347826086957,0.0
w2v_y1593_wbnone_vs200_w5_mc20_sg1_e10.kv,1593,none,200,5,20,1,10,0.30631873731649006,0.0
w2v_y1555_wbnone_vs200_w5_mc20_sg1_e10.kv,1555,none,200,5,20,1,10,0.02582480717330436,0.0
w2v_y1623_wbnone_vs200_w5_mc20_sg1_e10.kv,1623,none,200,5,20,1,10,0.1800209242757675,0.0
w2v_y1619_wbnone_vs200_w5_mc20_sg1_e10.kv,1619,none,200,5,20,1,10,0.5,0.0
w2v_y1618_wbnone_vs200_w5_mc20_sg1_e10.kv,1618,none,200,5,20,1,10,-0.3,0.0
w2v_y1505_wbnone_vs200_w5_mc20_sg1_e10.kv,1505,none,200,5,20,1,10,0.2501785896520053,0.0
w2v_y1551_wbnone_vs200_w5_mc20_sg1_e10.kv,1551,none,200,5,20,1,10,0.2028021369225717,0.0
w2v_y1600_wbnone_vs200_w5_mc20_sg1_e10.kv,1600,none,200,5,20,1,10,-0.01811470368137154,0.08333333333333333
w2v_y1628_wbnone_vs200_w5_mc20_sg1_e10.kv,1628,none,200,5,20,1,10,-0.19999999999999998,0.0
w2v_y1606_wbnone_vs200_w5_mc20_sg1_e10.kv,1606,none,200,5,20,1,10,0.5,0.0
w2v_y1630_wbnone_vs200_w5_mc20_sg1_e10.kv,1630,none,200,5,20,1,10,-0.523809523809524,0.14285714285714285
w2v_y1599_wbnone_vs200_w5_mc20_sg1_e10.kv,1599,none,200,5,20,1,10,0.15019762845849804,0.0
w2v_y1629_wbnone_vs200_w5_mc20_sg1_e10.kv,1629,none,200,5,20,1,10,0.2061564612002038,0.0
w2v_y1636_wbnone_vs200_w5_mc20_sg1_e10.kv,1636,none,200,5,20,1,10,0.18787878787878787,0.0
w2v_y1640_wbnone_vs200_w5_mc20_sg1_e10.kv,1640,none,200,5,20,1,10,-0.08578572961150499,0.0
w2v_y1602_wbnone_vs200_w5_mc20_sg1_e10.kv,1602,none,200,5,20,1,10,0.4617301694844746,0.0
w2v_y1523_wbnone_vs200_w5_mc20_sg1_e10.kv,1523,none,200,5,20,1,10,0.07285276096544525,0.05263157894736842
w2v_y1624_wbnone_vs200_w5_mc20_sg1_e10.kv,1624,none,200,5,20,1,10,-0.5151515151515151,0.0
w2v_y1603_wbnone_vs200_w5_mc20_sg1_e10.kv,1603,none,200,5,20,1,10,-0.06531594045107851,0.0297029702970297
w2v_y1517_wbnone_vs200_w5_mc20_sg1_e10.kv,1517,none,200,5,20,1,10,-0.35757575757575755,0.11764705882352941
w2v_y1581_wbnone_vs200_w5_mc20_sg1_e10.kv,1581,none,200,5,20,1,10,-0.4428571428571427,0.1794871794871795
w2v_y1615_wbnone_vs200_w5_mc20_sg1_e10.kv,1615,none,200,5,20,1,10,-1.0,0.0
w2v_y1617_wbnone_vs200_w5_mc20_sg1_e10.kv,1617,none,200,5,20,1,10,-0.5,0.0
w2v_y1592_wbnone_vs200_w5_mc20_sg1_e10.kv,1592,none,200,5,20,1,10,-0.0018144063870791944,0.0
w2v_y1547_wbnone_vs200_w5_mc20_sg1_e10.kv,1547,none,200,5,20,1,10,-0.1550708003011549,0.11267605633802817
w2v_y1563_wbnone_vs200_w5_mc20_sg1_e10.kv,1563,none,200,5,20,1,10,0.015446997777816347,0.06097560975609756
