model,year,weight_by,vector_size,window,min_count,approach,epochs,similarity_score,analogy_score
w2v_y2019_wbdoc_freq_vs200_w5_mc50_sg1_e8.kv,2019,doc_freq,200,5,50,1,8,0.6621410609730577,0.3833545980959859
w2v_y2019_wbfreq_vs200_w5_mc50_sg1_e8.kv,2019,freq,200,5,50,1,8,0.6704614853490752,0.3869859652566493
w2v_y2019_wbdoc_freq_vs200_w5_mc45_sg1_e8.kv,2019,doc_freq,200,5,45,1,8,0.6694520989172131,0.38397603170000966
w2v_y2019_wbnone_vs200_w5_mc40_sg1_e8.kv,2019,none,200,5,40,1,8,0.6656480505143323,0.3716872583231161
w2v_y2019_wbnone_vs200_w5_mc50_sg1_e8.kv,2019,none,200,5,50,1,8,0.6693366653212126,0.38217685739523016
w2v_y2019_wbfreq_vs200_w5_mc45_sg1_e8.kv,2019,freq,200,5,45,1,8,0.6712521324224405,0.37624432202570796
w2v_y2019_wbnone_vs200_w5_mc35_sg1_e8.kv,2019,none,200,5,35,1,8,0.6689870038082645,0.37673563218390804
w2v_y2019_wbnone_vs200_w5_mc45_sg1_e8.kv,2019,none,200,5,45,1,8,0.6628732606560429,0.38648883734415773
w2v_y2019_wbdoc_freq_vs200_w5_mc40_sg1_e8.kv,2019,doc_freq,200,5,40,1,8,0.6609743049425975,0.3702725643685749
w2v_y2019_wbfreq_vs200_w5_mc35_sg1_e8.kv,2019,freq,200,5,35,1,8,0.6664046519828012,0.36514942528735633
w2v_y2019_wbfreq_vs200_w5_mc40_sg1_e8.kv,2019,freq,200,5,40,1,8,0.6658425342058217,0.37074412902008863
w2v_y2019_wbdoc_freq_vs200_w5_mc35_sg1_e8.kv,2019,doc_freq,200,5,35,1,8,0.664233185311709,0.3740689655172414
w2v_y2019_wbfreq_vs200_w5_mc30_sg1_e8.kv,2019,freq,200,5,30,1,8,0.666597236134103,0.3687735070177048
w2v_y2019_wbnone_vs200_w5_mc30_sg1_e8.kv,2019,none,200,5,30,1,8,0.672847015587434,0.36106779194569305
w2v_y2019_wbdoc_freq_vs200_w5_mc25_sg1_e8.kv,2019,doc_freq,200,5,25,1,8,0.6535659520934595,0.357554994590696
w2v_y2019_wbdoc_freq_vs200_w5_mc30_sg1_e8.kv,2019,doc_freq,200,5,30,1,8,0.6624411883226589,0.3754701403540959
w2v_y2019_wbfreq_vs200_w5_mc25_sg1_e8.kv,2019,freq,200,5,25,1,8,0.658830162426508,0.362964298593581
w2v_y2019_wbnone_vs200_w5_mc25_sg1_e8.kv,2019,none,200,5,25,1,8,0.6679507315768275,0.362964298593581
w2v_y2019_wbfreq_vs200_w5_mc20_sg1_e8.kv,2019,freq,200,5,20,1,8,0.6634646021282125,0.3649107142857143
w2v_y2019_wbnone_vs200_w5_mc15_sg1_e8.kv,2019,none,200,5,15,1,8,0.6591567372202561,0.36698632569703427
w2v_y2019_wbdoc_freq_vs200_w5_mc20_sg1_e8.kv,2019,doc_freq,200,5,20,1,8,0.6692348207434755,0.3510714285714286
w2v_y2019_wbfreq_vs200_w5_mc15_sg1_e8.kv,2019,freq,200,5,15,1,8,0.6631364200312287,0.36148108684070324
w2v_y2019_wbdoc_freq_vs200_w5_mc5_sg1_e8.kv,2019,doc_freq,200,5,5,1,8,0.671294214543514,0.34711033274956216
w2v_y2019_wbnone_vs200_w5_mc20_sg1_e8.kv,2019,none,200,5,20,1,8,0.6581154969606368,0.354375
w2v_y2019_wbfreq_vs200_w5_mc10_sg1_e8.kv,2019,freq,200,5,10,1,8,0.6645612212902166,0.35144163150492264
w2v_y2019_wbdoc_freq_vs200_w5_mc15_sg1_e8.kv,2019,doc_freq,200,5,15,1,8,0.6681417084248941,0.3573077606109039
w2v_y2019_wbdoc_freq_vs200_w5_mc1_sg1_e8.kv,2019,doc_freq,200,5,1,1,8,0.6675481751755854,0.34947460595446583
w2v_y2019_wbnone_vs200_w5_mc10_sg1_e8.kv,2019,none,200,5,10,1,8,0.6739661369947347,0.3577707454289733
w2v_y2019_wbfreq_vs200_w5_mc1_sg1_e8.kv,2019,freq,200,5,1,1,8,0.6578106938198053,0.3489492119089317
w2v_y2019_wbdoc_freq_vs200_w5_mc10_sg1_e8.kv,2019,doc_freq,200,5,10,1,8,0.6619964036818673,0.3611111111111111
w2v_y2019_wbnone_vs200_w5_mc1_sg1_e8.kv,2019,none,200,5,1,1,8,0.6615153816590401,0.35
w2v_y2019_wbnone_vs200_w5_mc5_sg1_e8.kv,2019,none,200,5,5,1,8,0.6541064443359983,0.3499124343257443
w2v_y2019_wbfreq_vs200_w5_mc5_sg1_e8.kv,2019,freq,200,5,5,1,8,0.6579284653114209,0.35455341506129595
